"id","sex","major","haveCat","haveDog","heightCM","yearsInUni","extraversion","optimism","gratitude","foodPreference","spicyTolerance","ladderRank","fomo","conflictAvoidance","happiness","stress","tiktokLiking","chatgptLiking","memeKnowledge","cognitiveAbility"
820,"M","POSC","No","No",167,5,6,3,4,"Funan",5,5,4,2,4,5,3,5,4,4
821,"M","PSYC","No","No",183,4,5,4,4,"Koufu",4,6,3,3,5,5,2,4,2,3
822,"M","PSYC","Yes","No",175,4,4,4,3,"Funan",6,5,6,2,4,5,3,4,4,4
823,"F","PSYC","No","No",161,1,3,6,6,"Connexion",3,7,4,6,6,3,3,5,3,2
824,"M","SOCG","Yes","Yes",175,4,6,2,3,"Koufu",3,2,5,3,2,5,4,4,4,4
825,"M","SOCG","No","Yes",178,2,5,4,3,"Funan",5,4,4,2,4,4,3,3,3,4
826,"M","PSYC","No","No",173,1,4,6,4,"Connexion",3,8,4,5,6,3,5,4,5,5
827,"M","PSYC","No","No",188,2,5,6,4,"Koufu",4,5,4,3,5,3,4,5,4,3
828,"F","PSYC","No","No",166,2,3,4,4,"Koufu",3,3,4,5,5,4,4,3,4,4
829,"F","PSYC","No","Yes",166,1,3,5,6,"Funan",3,6,3,5,5,3,2,3,2,3
830,"M","SOCG","No","No",173,3,5,5,4,"Funan",4,6,4,3,5,3,6,5,6,5
831,"F","PSYC","No","No",160,2,3,5,7,"Funan",4,5,3,4,4,3,3,4,3,3
832,"F","PSYC","Yes","No",165,3,3,3,5,"Funan",4,4,3,5,4,4,4,3,4,5
833,"F","PSYC","No","No",169,4,4,3,6,"Connexion",4,2,3,5,3,4,4,4,4,4
834,"F","PSYC","No","No",165,3,4,4,5,"Koufu",5,4,3,4,3,3,2,4,2,3
835,"M","PSYC","Yes","No",184,3,6,3,4,"Funan",4,6,3,3,5,4,3,3,3,4
836,"F","PSYC","No","No",155,4,4,3,5,"Funan",5,5,2,4,4,4,2,3,2,4
837,"F","PSYC","No","No",162,3,4,4,5,"Connexion",4,5,4,3,5,4,3,5,3,3
838,"M","PSYC","Yes","No",185,4,6,3,3,"Connexion",3,5,5,4,4,5,5,4,5,5
839,"F","PSYC","Yes","No",169,1,3,6,5,"Funan",5,7,3,4,6,3,3,2,3,5
840,"F","PSYC","Yes","Yes",163,3,5,4,4,"Connexion",2,6,4,5,4,4,4,3,4,5
841,"M","PSYC","Yes","No",179,2,4,6,4,"Connexion",4,5,5,3,5,3,3,5,3,2
842,"M","PSYC","No","No",181,2,5,6,4,"Funan",5,7,4,2,5,2,3,5,3,3
843,"F","SOCG","Yes","No",169,4,4,3,5,"Koufu",5,4,3,3,4,6,3,3,3,4
844,"F","PSYC","Yes","No",161,4,4,3,5,"Connexion",3,4,3,5,4,5,4,3,4,5
845,"M","SOCG","No","No",174,3,5,5,4,"Koufu",4,7,4,3,5,4,5,3,5,6
846,"M","PSYC","Yes","No",170,1,3,6,4,"Koufu",2,7,4,6,6,4,4,3,4,4
847,"M","PSYC","No","No",181,2,5,5,3,"Koufu",4,7,4,3,5,4,3,3,3,4
848,"F","PSYC","No","No",173,3,4,3,3,"Funan",5,3,6,3,2,6,5,6,6,3
849,"M","POSC","No","Yes",177,3,6,4,4,"Koufu",4,6,4,2,5,4,4,4,4,4
850,"M","PSYC","Yes","No",177,1,3,5,3,"Connexion",4,6,6,5,4,3,4,4,4,4
851,"M","PSYC","No","No",178,2,5,5,3,"Funan",5,7,4,3,4,4,4,5,4,3
852,"F","PSYC","No","No",159,3,3,4,5,"Funan",4,4,3,4,5,3,4,3,4,5
853,"F","POSC","Yes","No",178,4,5,2,4,"Koufu",4,3,5,4,3,6,3,5,3,2
854,"M","PSYC","No","No",183,2,5,6,3,"Koufu",3,8,4,4,6,3,3,5,3,3
855,"F","POSC","Yes","No",148,3,3,4,4,"Connexion",5,5,4,4,3,5,2,3,3,4
856,"F","POSC","Yes","Yes",156,2,4,4,4,"Connexion",5,5,5,3,3,5,4,5,5,3
857,"F","POSC","No","No",152,1,2,5,4,"Connexion",3,4,4,5,3,2,4,4,4,4
858,"F","POSC","Yes","Yes",167,2,4,4,5,"Funan",4,5,4,5,4,3,3,4,3,3
859,"M","PSYC","No","Yes",171,3,5,5,5,"Connexion",3,7,5,4,5,5,4,4,4,4
860,"M","PSYC","Yes","No",166,2,4,7,2,"Koufu",3,8,6,4,4,4,4,5,4,3
861,"F","PSYC","No","Yes",158,2,3,4,4,"Connexion",3,5,4,5,5,4,3,4,3,3
862,"M","SOCG","Yes","No",169,2,4,4,4,"Connexion",2,4,4,5,4,3,4,3,4,5
863,"F","PSYC","No","No",175,1,3,4,5,"Funan",6,5,4,4,4,3,5,4,5,5
864,"M","SOCG","Yes","No",173,1,4,7,3,"Funan",3,6,6,4,5,3,3,5,3,2
865,"M","PSYC","No","No",186,4,5,3,4,"Koufu",3,5,4,4,4,5,3,4,4,4
866,"M","PSYC","No","No",180,4,5,4,3,"Connexion",3,5,4,4,5,4,3,5,4,4
867,"F","PSYC","No","No",161,4,4,2,5,"Koufu",3,3,4,5,4,5,3,5,3,3
868,"M","SOCG","No","No",192,3,6,5,4,"Connexion",4,5,4,3,5,3,3,4,3,4
869,"F","PSYC","No","No",169,3,4,4,4,"Connexion",3,5,5,6,4,5,3,6,3,1
870,"F","SOCG","No","Yes",156,1,3,5,5,"Funan",5,3,3,3,4,3,3,3,3,4
871,"M","PSYC","No","No",177,4,5,4,5,"Connexion",3,6,3,4,5,4,1,4,1,2
872,"F","PSYC","No","No",168,2,4,4,5,"Connexion",4,5,4,4,4,3,3,4,3,3
873,"F","PSYC","No","Yes",155,3,3,5,5,"Funan",4,6,4,4,5,5,3,3,3,4
874,"F","PSYC","Yes","No",173,4,4,3,5,"Funan",3,3,4,4,4,5,3,4,4,4
875,"M","SOCG","Yes","No",172,3,5,5,4,"Connexion",3,6,3,4,5,4,4,2,4,6
876,"F","PSYC","Yes","Yes",154,3,4,3,5,"Funan",6,3,4,3,3,5,4,3,4,4
877,"M","PSYC","No","No",162,1,4,6,5,"Connexion",3,7,4,4,6,2,3,5,3,3
878,"F","SOCG","Yes","Yes",173,3,5,3,5,"Connexion",4,5,5,4,4,5,5,4,5,5
879,"F","SOCG","Yes","No",159,4,4,3,4,"Funan",4,3,4,4,4,4,4,3,4,5
880,"M","SOCG","No","No",176,2,4,6,5,"Koufu",4,8,4,3,6,3,5,4,5,6
881,"M","SOCG","No","No",173,1,4,5,4,"Koufu",4,6,4,4,5,3,3,4,3,3
882,"F","SOCG","No","No",163,4,5,3,5,"Funan",5,3,2,2,4,5,4,2,4,6
883,"M","SOCG","Yes","No",178,2,4,5,3,"Koufu",4,9,5,3,6,4,5,4,5,5
884,"F","PSYC","No","No",158,2,4,4,5,"Koufu",3,6,3,5,5,4,2,4,2,2
885,"F","SOCG","No","No",171,3,4,5,4,"Connexion",3,4,4,4,4,4,4,3,4,5
886,"M","SOCG","Yes","No",167,1,4,6,3,"Koufu",2,6,5,5,5,4,4,4,4,4
887,"F","POSC","No","No",157,4,4,3,4,"Connexion",4,6,3,4,5,5,3,3,3,4
888,"F","PSYC","No","No",159,4,4,3,5,"Connexion",4,3,4,4,4,5,2,4,2,2
889,"M","SOCG","No","No",178,1,4,6,3,"Connexion",6,8,4,2,6,2,3,6,3,2
890,"F","PSYC","Yes","No",152,3,4,3,5,"Funan",4,5,3,4,4,4,2,4,2,3
891,"M","PSYC","No","No",180,3,5,5,4,"Connexion",4,6,4,4,5,3,3,4,3,4
892,"M","POSC","Yes","No",176,3,5,4,4,"Funan",6,5,3,2,4,4,2,3,2,3
893,"F","POSC","No","No",175,2,4,5,5,"Connexion",3,5,3,5,4,2,2,4,2,3
894,"F","POSC","No","Yes",161,2,4,4,4,"Koufu",4,6,3,5,4,3,2,3,2,4
895,"M","PSYC","No","No",174,3,5,6,4,"Connexion",4,7,4,4,5,3,4,3,4,6
896,"M","SOCG","Yes","No",172,4,5,3,3,"Koufu",5,4,5,3,3,7,5,5,5,3
897,"F","PSYC","Yes","Yes",165,1,4,5,4,"Koufu",3,6,4,5,5,2,3,3,3,4
898,"F","PSYC","No","No",154,4,4,3,5,"Connexion",4,6,4,4,4,3,3,5,3,4
899,"F","PSYC","No","Yes",158,2,4,3,4,"Koufu",3,4,5,5,3,4,4,6,4,2
900,"F","PSYC","No","No",154,2,2,4,5,"Koufu",3,5,3,5,5,4,6,3,5,5
901,"F","PSYC","Yes","No",156,2,2,4,4,"Koufu",3,4,4,6,3,5,4,4,4,3
902,"F","PSYC","No","Yes",162,1,3,5,5,"Funan",4,6,4,4,5,2,3,4,3,4
903,"M","SOCG","No","No",174,2,5,5,4,"Funan",5,6,4,2,6,4,5,3,5,6
904,"F","PSYC","Yes","No",156,3,4,3,6,"Koufu",4,3,3,4,4,3,4,4,4,4
905,"M","PSYC","Yes","No",171,2,5,5,3,"Koufu",3,8,4,4,5,5,2,3,2,3
906,"F","SOCG","No","No",169,3,4,3,4,"Funan",5,4,5,4,4,4,4,4,4,4
907,"M","PSYC","No","No",168,4,5,4,2,"Connexion",3,5,7,4,3,5,6,7,6,3
908,"F","POSC","Yes","No",159,1,2,3,5,"Koufu",4,3,5,5,3,4,4,4,5,4
909,"M","SOCG","Yes","No",179,3,4,6,3,"Funan",5,8,4,3,6,4,4,4,4,4
910,"M","PSYC","No","Yes",177,3,5,4,3,"Connexion",3,6,5,4,5,5,3,5,3,2
911,"M","SOCG","No","Yes",177,4,6,5,4,"Connexion",4,6,4,3,5,4,3,4,3,4
912,"F","POSC","No","Yes",156,3,4,2,5,"Connexion",3,3,4,5,2,4,4,3,4,5
913,"F","PSYC","No","Yes",160,4,4,2,5,"Funan",4,3,2,5,3,5,3,3,3,4
914,"F","PSYC","No","No",158,5,4,3,5,"Funan",6,3,3,3,3,6,3,3,4,5
915,"F","PSYC","No","Yes",169,2,4,4,5,"Koufu",3,2,4,5,3,3,4,5,4,3
916,"M","PSYC","No","No",163,1,3,6,4,"Funan",4,7,5,4,5,3,4,6,4,2
917,"F","PSYC","No","No",166,3,4,4,5,"Koufu",3,5,4,4,4,4,3,2,3,5
918,"M","PSYC","No","No",165,3,5,4,3,"Koufu",3,5,5,3,3,5,4,6,4,2
919,"M","PSYC","Yes","No",182,2,5,6,4,"Koufu",4,6,3,3,6,4,2,4,2,2
920,"F","PSYC","Yes","No",170,4,4,3,5,"Funan",4,2,3,4,3,4,2,4,2,3
921,"M","POSC","Yes","Yes",184,4,7,5,4,"Funan",4,5,3,3,5,5,4,4,4,4
922,"F","POSC","No","Yes",160,3,4,3,5,"Koufu",3,3,3,5,4,5,3,3,3,4
923,"M","PSYC","No","No",166,2,4,4,3,"Koufu",4,6,5,4,4,3,4,5,4,4
924,"M","PSYC","Yes","Yes",184,4,7,4,2,"Funan",4,5,6,2,3,6,5,5,6,5
925,"M","POSC","No","No",183,3,6,5,3,"Connexion",3,7,3,3,5,4,3,4,3,4
926,"F","PSYC","No","Yes",158,4,4,3,5,"Funan",5,4,3,3,3,4,3,3,3,5
927,"F","POSC","No","No",158,3,3,4,6,"Koufu",3,5,3,5,4,4,3,2,3,5
928,"M","PSYC","No","Yes",178,2,5,5,4,"Funan",5,7,4,3,5,3,4,4,4,4
929,"F","SOCG","Yes","Yes",166,2,4,4,4,"Koufu",4,6,4,4,4,4,4,4,4,4
930,"F","PSYC","Yes","No",162,3,3,3,4,"Koufu",3,3,4,5,3,5,4,3,4,4
931,"F","SOCG","No","No",152,3,3,2,6,"Connexion",4,2,3,4,2,5,3,5,3,2
932,"F","PSYC","No","No",163,1,2,5,5,"Funan",5,5,2,4,4,3,3,2,3,5
933,"F","PSYC","No","No",155,3,3,3,6,"Connexion",3,4,3,5,4,4,3,3,3,4
934,"M","SOCG","No","No",179,4,5,4,4,"Koufu",4,4,4,3,4,4,4,4,4,5
935,"M","PSYC","No","Yes",183,1,5,5,4,"Koufu",4,7,4,3,5,4,3,3,3,4
936,"M","POSC","Yes","Yes",163,4,5,4,3,"Funan",5,6,3,3,3,5,3,4,4,4
937,"F","PSYC","No","No",167,3,3,4,5,"Koufu",3,4,3,4,4,3,4,4,4,5
938,"M","SOCG","No","No",181,2,5,6,4,"Connexion",3,8,3,4,6,2,4,5,4,4
939,"M","PSYC","No","No",173,1,4,7,4,"Funan",4,7,5,4,4,2,4,4,4,4
940,"F","POSC","No","No",160,2,2,4,5,"Koufu",2,4,3,7,3,3,2,5,2,2
941,"M","PSYC","No","No",169,3,5,5,3,"Connexion",4,6,4,4,4,4,4,5,4,4
942,"M","PSYC","Yes","No",169,3,5,4,4,"Funan",5,6,5,3,4,4,3,4,3,3
943,"F","PSYC","No","Yes",169,2,4,4,4,"Funan",5,5,5,3,5,4,4,4,4,4
944,"M","SOCG","Yes","No",174,1,4,5,4,"Connexion",2,7,4,4,5,3,4,5,4,3
945,"M","PSYC","No","Yes",185,2,5,5,4,"Funan",5,7,4,3,6,4,4,5,4,3
946,"F","PSYC","Yes","Yes",158,2,4,4,5,"Koufu",3,4,5,5,3,3,5,4,5,5
947,"F","POSC","No","No",161,4,4,3,5,"Koufu",3,4,2,5,4,5,5,4,5,5
948,"M","SOCG","Yes","No",168,4,4,5,3,"Connexion",4,7,4,4,4,4,4,3,4,6
949,"F","SOCG","No","Yes",155,3,4,3,6,"Connexion",4,3,2,4,4,4,3,3,3,4
950,"F","PSYC","Yes","Yes",166,3,4,4,4,"Connexion",3,5,3,5,5,4,3,3,3,4
951,"M","PSYC","Yes","No",187,1,4,7,4,"Funan",5,9,3,3,6,2,4,3,4,5
952,"M","PSYC","Yes","No",188,5,6,3,4,"Connexion",4,5,4,3,4,4,4,5,4,4
953,"M","PSYC","No","Yes",176,2,5,5,4,"Koufu",4,4,4,3,4,4,3,5,3,2
954,"F","SOCG","No","No",154,3,4,3,4,"Funan",4,5,3,4,4,5,4,2,4,6
955,"M","PSYC","No","No",179,3,5,5,3,"Connexion",3,5,4,4,4,4,3,5,4,3
956,"F","SOCG","No","Yes",155,4,5,3,5,"Connexion",4,3,2,4,4,4,2,2,2,5
957,"M","SOCG","No","Yes",171,3,5,5,2,"Connexion",4,7,5,3,5,5,4,5,4,3
958,"F","POSC","No","No",156,3,3,3,6,"Funan",5,4,3,4,5,5,3,4,3,3
959,"M","PSYC","No","No",172,1,4,5,3,"Connexion",3,6,5,4,4,4,4,6,4,2
960,"M","POSC","Yes","No",173,5,5,3,4,"Koufu",4,4,3,3,4,6,3,3,3,4
961,"M","SOCG","No","No",174,1,4,5,4,"Funan",5,7,4,3,5,2,3,4,3,4
962,"M","PSYC","No","No",170,3,5,4,4,"Connexion",3,6,4,4,4,4,3,4,3,4
963,"M","POSC","No","No",174,2,4,5,4,"Connexion",3,5,5,5,4,5,4,5,4,3
964,"M","PSYC","Yes","Yes",175,2,5,6,3,"Funan",5,7,5,3,5,3,3,3,3,4
965,"M","SOCG","Yes","Yes",182,4,6,4,3,"Connexion",4,6,5,3,4,5,4,5,5,4
966,"M","PSYC","No","No",169,1,4,6,4,"Funan",4,6,4,3,6,3,3,4,3,3
967,"F","PSYC","No","No",161,2,3,3,4,"Koufu",2,3,5,6,3,4,5,6,5,3
968,"F","PSYC","No","Yes",172,2,3,4,5,"Funan",5,7,4,4,5,4,3,3,3,4
969,"F","PSYC","Yes","No",152,2,2,4,5,"Koufu",3,2,3,6,4,4,4,4,4,4
970,"M","SOCG","No","Yes",177,4,6,4,2,"Funan",6,5,6,1,3,6,4,5,5,4
971,"M","SOCG","Yes","Yes",179,1,6,6,2,"Connexion",3,10,6,3,5,3,5,6,5,3
972,"M","POSC","No","No",173,3,4,5,3,"Funan",5,8,4,3,5,3,4,5,4,4
973,"F","SOCG","No","No",168,4,4,3,5,"Koufu",4,2,3,4,3,4,5,4,4,4
974,"F","SOCG","No","Yes",161,5,5,2,5,"Koufu",3,1,4,4,3,6,4,3,4,5
975,"M","PSYC","No","No",181,2,5,5,3,"Connexion",3,6,4,4,5,4,2,4,2,2
976,"F","PSYC","No","No",169,2,3,4,4,"Funan",6,6,4,2,4,4,3,5,3,2
977,"F","PSYC","No","No",161,2,3,3,5,"Koufu",3,4,3,6,3,3,3,4,3,3
978,"M","POSC","Yes","No",183,2,5,6,1,"Connexion",3,7,6,4,4,4,4,4,5,5
979,"F","PSYC","Yes","No",164,2,3,4,5,"Koufu",4,3,3,5,3,4,4,2,4,5
980,"M","PSYC","Yes","Yes",170,1,5,5,4,"Funan",5,7,5,3,4,4,5,4,5,5
981,"M","PSYC","Yes","No",179,2,4,6,4,"Funan",6,7,3,3,5,3,4,3,4,5
982,"M","POSC","No","No",170,2,4,5,3,"Funan",4,6,4,4,5,3,5,4,5,5
983,"M","POSC","No","No",176,3,5,4,4,"Funan",5,5,4,3,4,4,4,4,4,4
984,"M","SOCG","No","No",176,1,4,6,3,"Koufu",3,7,4,4,6,3,4,4,4,4
985,"F","POSC","No","No",158,3,3,5,4,"Koufu",3,5,5,5,4,4,4,4,4,4
986,"F","SOCG","Yes","No",160,3,4,3,4,"Connexion",5,4,4,3,4,4,3,3,3,4
987,"F","PSYC","Yes","Yes",170,3,5,3,5,"Funan",6,3,4,3,4,6,3,2,4,5
988,"F","SOCG","Yes","No",161,3,4,3,5,"Koufu",3,5,3,4,3,5,4,4,4,4
989,"M","PSYC","No","No",181,2,5,4,3,"Connexion",4,6,5,3,5,4,4,5,4,3
990,"F","POSC","Yes","No",156,4,4,4,4,"Koufu",5,4,4,3,4,4,4,3,4,5
991,"M","POSC","No","No",178,1,4,6,4,"Koufu",3,8,5,4,6,3,5,5,5,4
992,"M","SOCG","Yes","No",182,2,5,4,3,"Koufu",3,4,6,4,4,4,5,6,6,4
993,"F","PSYC","No","No",170,3,4,3,5,"Funan",3,3,4,5,3,4,3,4,3,3
994,"M","SOCG","No","No",170,2,5,5,5,"Connexion",4,8,4,4,6,2,4,4,4,5
995,"M","PSYC","No","No",177,3,5,4,4,"Koufu",3,4,4,4,4,4,3,5,3,3
996,"M","PSYC","No","No",180,3,5,5,4,"Koufu",3,6,4,4,5,3,4,4,4,5
997,"M","PSYC","Yes","Yes",179,1,5,6,4,"Connexion",3,6,4,4,5,2,2,3,2,4
998,"M","PSYC","No","No",175,3,5,5,5,"Koufu",3,6,4,4,6,6,2,5,2,1
999,"F","SOCG","No","No",173,3,4,3,5,"Funan",5,4,4,2,5,4,3,4,3,3
1000,"M","POSC","No","No",169,2,5,5,4,"Funan",5,8,4,3,5,4,4,4,4,4
